n,T,pr,Model,Activity,Scenario,Region,Label,Mask,Season,Year,
51,-0.3,1.91,bccr_bcm2_0,CMIP3,A1B,Southern Europe/Mediterranean,MED,land,DJF,2085,
52,-0.18,2.98,bccr_bcm2_0,CMIP3,A1B,Southern Europe/Mediterranean,MED,land,JJA,2085,
53,-0.3,2.64,bccr_bcm2_0,CMIP3,A1B,Southern Europe/Mediterranean,MED,land,MAM,2085,
54,-0.27,2.23,bccr_bcm2_0,CMIP3,A1B,Southern Europe/Mediterranean,MED,land,SON,2085,
55,0.22,4.25,bccr_bcm2_0,CMIP3,A1B,North Asia,NAS,land,ANN,2085,
56,0.26,5.66,bccr_bcm2_0,CMIP3,A1B,North Asia,NAS,land,DJF,2085,
57,0.11,3.13,bccr_bcm2_0,CMIP3,A1B,North Asia,NAS,land,JJA,2085,
58,0.25,4.04,bccr_bcm2_0,CMIP3,A1B,North Asia,NAS,land,MAM,2085,
59,0.24,4.18,bccr_bcm2_0,CMIP3,A1B,North Asia,NAS,land,SON,2085,
60,0.23,2.45,bccr_bcm2_0,CMIP3,A1B,Australia/North Australia,NAU,land,ANN,2085,
61,0.26,2.29,bccr_bcm2_0,CMIP3,A1B,Australia/North Australia,NAU,land,DJF,2085,
62,0.05,2.38,bccr_bcm2_0,CMIP3,A1B,Australia/North Australia,NAU,land,JJA,2085,
63,0.53,2.5,bccr_bcm2_0,CMIP3,A1B,Australia/North Australia,NAU,land,MAM,2085,
64,0.09,2.62,bccr_bcm2_0,CMIP3,A1B,Australia/North Australia,NAU,land,SON,2085,
65,0.4,2.45,bccr_bcm2_0,CMIP3,A1B,Northeast Brazil,NEB,land,ANN,2085,
66,1.4,2.01,bccr_bcm2_0,CMIP3,A1B,Northeast Brazil,NEB,land,DJF,2085,
67,0.02,2.56,bccr_bcm2_0,CMIP3,A1B,Northeast Brazil,NEB,land,JJA,2085,
68,0.25,2.31,bccr_bcm2_0,CMIP3,A1B,Northeast Brazil,NEB,land,MAM,2085,
69,-0.09,2.92,bccr_bcm2_0,CMIP3,A1B,Northeast Brazil,NEB,land,SON,2085,
70,0.26,3.99,bccr_bcm2_0,CMIP3,A1B,Northern Europe,NEU,land,ANN,2085,
71,0.49,5.55,bccr_bcm2_0,CMIP3,A1B,Northern Europe,NEU,land,DJF,2085,
72,0.03,2.6,bccr_bcm2_0,CMIP3,A1B,Northern Europe,NEU,land,JJA,2085,
73,0.31,3.89,bccr_bcm2_0,CMIP3,A1B,Northern Europe,NEU,land,MAM,2085,
74,0.2,3.92,bccr_bcm2_0,CMIP3,A1B,Northern Europe,NEU,land,SON,2085,
75,0.07,2.54,bccr_bcm2_0,CMIP3,A1B,Southern Africa,SAF,land,ANN,2085,
76,0.19,2.56,bccr_bcm2_0,CMIP3,A1B,Southern Africa,SAF,land,DJF,2085,
77,-0.03,2.53,bccr_bcm2_0,CMIP3,A1B,Southern Africa,SAF,land,JJA,2085,
78,0.17,2.5,bccr_bcm2_0,CMIP3,A1B,Southern Africa,SAF,land,MAM,2085,
79,-0.04,2.57,bccr_bcm2_0,CMIP3,A1B,Southern Africa,SAF,land,SON,2085,
80,-0.05,2.84,bccr_bcm2_0,CMIP3,A1B,Africa: Sahara,SAH,land,ANN,2085,
81,-0.02,2.48,bccr_bcm2_0,CMIP3,A1B,Africa: Sahara,SAH,land,DJF,2085,
