n,T,pr,Model,Activity,Scenario,Region,Label,Mask,Season,Year,
5232,-0.2,2.55,bccr_bcm2_0,CMIP3,B1,Central North America,CNA,land,JJA,2085,
5233,-0.01,2.77,bccr_bcm2_0,CMIP3,B1,Central North America,CNA,land,MAM,2085,
5234,0.02,1.84,bccr_bcm2_0,CMIP3,B1,Central North America,CNA,land,SON,2085,
5235,0.03,1.84,bccr_bcm2_0,CMIP3,B1,East Africa,EAF,land,ANN,2085,
5236,0.14,1.79,bccr_bcm2_0,CMIP3,B1,East Africa,EAF,land,DJF,2085,
5237,-0.2,1.88,bccr_bcm2_0,CMIP3,B1,East Africa,EAF,land,JJA,2085,
5238,0.13,1.84,bccr_bcm2_0,CMIP3,B1,East Africa,EAF,land,MAM,2085,
5239,0.05,1.86,bccr_bcm2_0,CMIP3,B1,East Africa,EAF,land,SON,2085,
5240,0.09,1.7,bccr_bcm2_0,CMIP3,B1,Eastern Asia,EAS,land,ANN,2085,
5241,-0.03,1.73,bccr_bcm2_0,CMIP3,B1,Eastern Asia,EAS,land,DJF,2085,
5242,0.25,1.71,bccr_bcm2_0,CMIP3,B1,Eastern Asia,EAS,land,JJA,2085,
5243,0.08,1.94,bccr_bcm2_0,CMIP3,B1,Eastern Asia,EAS,land,MAM,2085,
5244,0.06,1.41,bccr_bcm2_0,CMIP3,B1,Eastern Asia,EAS,land,SON,2085,
5245,-0.01,1.73,bccr_bcm2_0,CMIP3,B1,Eastern North America,ENA,land,ANN,2085,
5246,0.08,1.83,bccr_bcm2_0,CMIP3,B1,Eastern North America,ENA,land,DJF,2085,
5247,-0.12,1.79,bccr_bcm2_0,CMIP3,B1,Eastern North America,ENA,land,JJA,2085,
5248,-0.07,1.85,bccr_bcm2_0,CMIP3,B1,Eastern North America,ENA,land,MAM,2085,
5249,0.07,1.43,bccr_bcm2_0,CMIP3,B1,Eastern North America,ENA,land,SON,2085,
5250,-0.19,1.64,bccr_bcm2_0,CMIP3,B1,Southern Europe/Mediterranean,MED,land,ANN,2085,
5251,-0.28,1.44,bccr_bcm2_0,CMIP3,B1,Southern Europe/Mediterranean,MED,land,DJF,2085,
5252,-0.14,1.97,bccr_bcm2_0,CMIP3,B1,Southern Europe/Mediterranean,MED,land,JJA,2085,
5253,-0.19,1.84,bccr_bcm2_0,CMIP3,B1,Southern Europe/Mediterranean,MED,land,MAM,2085,
5254,-0.16,1.32,bccr_bcm2_0,CMIP3,B1,Southern Europe/Mediterranean,MED,land,SON,2085,
5255,0.14,2.77,bccr_bcm2_0,CMIP3,B1,North Asia,NAS,land,ANN,2085,
5256,0.17,3.79,bccr_bcm2_0,CMIP3,B1,North Asia,NAS,land,DJF,2085,
5257,0.05,2.13,bccr_bcm2_0,CMIP3,B1,North Asia,NAS,land,JJA,2085,
5258,0.15,2.57,bccr_bcm2_0,CMIP3,B1,North Asia,NAS,land,MAM,2085,
5259,0.17,2.57,bccr_bcm2_0,CMIP3,B1,North Asia,NAS,land,SON,2085,
5260,0.1,1.73,bccr_bcm2_0,CMIP3,B1,Australia/North Australia,NAU,land,ANN,2085,
5261,0.12,1.64,bccr_bcm2_0,CMIP3,B1,Australia/North Australia,NAU,land,DJF,2085,
5262,0.02,1.73,bccr_bcm2_0,CMIP3,B1,Australia/North Australia,NAU,land,JJA,2085,
5263,0.3,1.79,bccr_bcm2_0,CMIP3,B1,Australia/North Australia,NAU,land,MAM,2085,
5264,-0.06,1.77,bccr_bcm2_0,CMIP3,B1,Australia/North Australia,NAU,land,SON,2085,
5265,0.29,1.71,bccr_bcm2_0,CMIP3,B1,Northeast Brazil,NEB,land,ANN,2085,
5266,0.77,1.44,bccr_bcm2_0,CMIP3,B1,Northeast Brazil,NEB,land,DJF,2085,
5267,0.04,1.78,bccr_bcm2_0,CMIP3,B1,Northeast Brazil,NEB,land,JJA,2085,
5268,0.27,1.6,bccr_bcm2_0,CMIP3,B1,Northeast Brazil,NEB,land,MAM,2085,
5269,0.06,2.02,bccr_bcm2_0,CMIP3,B1,Northeast Brazil,NEB,land,SON,2085,
5270,0.15,2.18,bccr_bcm2_0,CMIP3,B1,Northern Europe,NEU,land,ANN,2085,
5271,0.33,2.97,bccr_bcm2_0,CMIP3,B1,Northern Europe,NEU,land,DJF,2085,
5272,0.02,1.44,bccr_bcm2_0,CMIP3,B1,Northern Europe,NEU,land,JJA,2085,
5273,0.14,2.1,bccr_bcm2_0,CMIP3,B1,Northern Europe,NEU,land,MAM,2085,
5274,0.1,2.22,bccr_bcm2_0,CMIP3,B1,Northern Europe,NEU,land,SON,2085,
5275,0.07,1.78,bccr_bcm2_0,CMIP3,B1,Southern Africa,SAF,land,ANN,2085,
5276,0.21,1.85,bccr_bcm2_0,CMIP3,B1,Southern Africa,SAF,land,DJF,2085,
5277,-0.08,1.73,bccr_bcm2_0,CMIP3,B1,Southern Africa,SAF,land,JJA,2085,
5278,0.13,1.75,bccr_bcm2_0,CMIP3,B1,Southern Africa,SAF,land,MAM,2085,
5279,0.02,1.8,bccr_bcm2_0,CMIP3,B1,Southern Africa,SAF,land,SON,2085,
5280,-0.07,1.91,bccr_bcm2_0,CMIP3,B1,Africa: Sahara,SAH,land,ANN,2085,
5281,-0.02,1.55,bccr_bcm2_0,CMIP3,B1,Africa: Sahara,SAH,land,DJF,2085,
5282,-0.19,2.26,bccr_bcm2_0,CMIP3,B1,Africa: Sahara,SAH,land,JJA,2085,
5283,-0.02,1.75,bccr_bcm2_0,CMIP3,B1,Africa: Sahara,SAH,land,MAM,2085,
5284,-0.06,2.06,bccr_bcm2_0,CMIP3,B1,Africa: Sahara,SAH,land,SON,2085,
5285,0.17,1.63,bccr_bcm2_0,CMIP3,B1,South Asia,SAS,land,ANN,2085,
5286,0.11,1.73,bccr_bcm2_0,CMIP3,B1,South Asia,SAS,land,DJF,2085,
5287,0.33,1.55,bccr_bcm2_0,CMIP3,B1,South Asia,SAS,land,JJA,2085,
5288,0.02,1.71,bccr_bcm2_0,CMIP3,B1,South Asia,SAS,land,MAM,2085,
5289,0.2,1.54,bccr_bcm2_0,CMIP3,B1,South Asia,SAS,land,SON,2085,
5290,0.08,1.78,bccr_bcm2_0,CMIP3,B1,South Australia/New Zealand,SAU,land,ANN,2085,
5291,0.06,1.88,bccr_bcm2_0,CMIP3,B1,South Australia/New Zealand,SAU,land,DJF,2085,
5292,0.13,1.66,bccr_bcm2_0,CMIP3,B1,South Australia/New Zealand,SAU,land,JJA,2085,
5293,0.11,1.93,bccr_bcm2_0,CMIP3,B1,South Australia/New Zealand,SAU,land,MAM,2085,
5294,0.04,1.64,bccr_bcm2_0,CMIP3,B1,South Australia/New Zealand,SAU,land,SON,2085,
5295,0.2,1.39,bccr_bcm2_0,CMIP3,B1,Southeast Asia (sea),SEA,sea,ANN,2085,
5296,0.15,1.33,bccr_bcm2_0,CMIP3,B1,Southeast Asia (sea),SEA,sea,DJF,2085,
5297,0.32,1.43,bccr_bcm2_0,CMIP3,B1,Southeast Asia (sea),SEA,sea,JJA,2085,
5298,0.15,1.43,bccr_bcm2_0,CMIP3,B1,Southeast Asia (sea),SEA,sea,MAM,2085,
5299,0.17,1.38,bccr_bcm2_0,CMIP3,B1,Southeast Asia (sea),SEA,sea,SON,2085,
5300,0.28,1.95,bccr_bcm2_0,CMIP3,B1,Southeastern South America,SSA,land,ANN,2085,
5301,0.32,2.04,bccr_bcm2_0,CMIP3,B1,Southeastern South America,SSA,land,DJF,2085,
5302,0.25,1.85,bccr_bcm2_0,CMIP3,B1,Southeastern South America,SSA,land,JJA,2085,
5303,0.33,1.71,bccr_bcm2_0,CMIP3,B1,Southeastern South America,SSA,land,MAM,2085,
5304,0.19,2.2,bccr_bcm2_0,CMIP3,B1,Southeastern South America,SSA,land,SON,2085,
5305,0.1,2.01,bccr_bcm2_0,CMIP3,B1,Tibetan Plateau,TIB,land,ANN,2085,
5306,0.07,2.21,bccr_bcm2_0,CMIP3,B1,Tibetan Plateau,TIB,land,DJF,2085,
5307,0.12,2.07,bccr_bcm2_0,CMIP3,B1,Tibetan Plateau,TIB,land,JJA,2085,
5308,0.12,1.98,bccr_bcm2_0,CMIP3,B1,Tibetan Plateau,TIB,land,MAM,2085,
5309,0.1,1.77,bccr_bcm2_0,CMIP3,B1,Tibetan Plateau,TIB,land,SON,2085,
5310,0.05,1.74,bccr_bcm2_0,CMIP3,B1,West Africa,WAF,land,ANN,2085,
5311,0.04,1.6,bccr_bcm2_0,CMIP3,B1,West Africa,WAF,land,DJF,2085,
5312,0.04,1.82,bccr_bcm2_0,CMIP3,B1,West Africa,WAF,land,JJA,2085,
5313,0.0,1.71,bccr_bcm2_0,CMIP3,B1,West Africa,WAF,land,MAM,2085,
5314,0.12,1.82,bccr_bcm2_0,CMIP3,B1,West Africa,WAF,land,SON,2085,
5315,-0.09,1.93,bccr_bcm2_0,CMIP3,B1,West Asia,WAS,land,ANN,2085,
5316,-0.03,1.62,bccr_bcm2_0,CMIP3,B1,West Asia,WAS,land,DJF,2085,
5317,-0.15,2.16,bccr_bcm2_0,CMIP3,B1,West Asia,WAS,land,JJA,2085,
5318,-0.09,2.09,bccr_bcm2_0,CMIP3,B1,West Asia,WAS,land,MAM,2085,
5319,-0.09,1.86,bccr_bcm2_0,CMIP3,B1,West Asia,WAS,land,SON,2085,
5320,0.06,1.95,bccr_bcm2_0,CMIP3,B1,West North America,WNA,land,ANN,2085,
5321,0.09,2.07,bccr_bcm2_0,CMIP3,B1,West North America,WNA,land,DJF,2085,
5322,0.01,2.01,bccr_bcm2_0,CMIP3,B1,West North America,WNA,land,JJA,2085,
5323,0.0,1.81,bccr_bcm2_0,CMIP3,B1,West North America,WNA,land,MAM,2085,
5324,0.12,1.93,bccr_bcm2_0,CMIP3,B1,West North America,WNA,land,SON,2085,
5325,-0.04,1.51,bccr_bcm2_0,CMIP3,B1,West Coast South America,WSA,land,ANN,2085,
5326,-0.01,1.59,bccr_bcm2_0,CMIP3,B1,West Coast South America,WSA,land,DJF,2085,
5327,-0.07,1.47,bccr_bcm2_0,CMIP3,B1,West Coast South America,WSA,land,JJA,2085,
5328,-0.09,1.37,bccr_bcm2_0,CMIP3,B1,West Coast South America,WSA,land,MAM,2085,
5329,0.01,1.61,bccr_bcm2_0,CMIP3,B1,West Coast South America,WSA,land,SON,2085,
5330,0.19,3.06,cccma_cgcm3_1,CMIP3,B1,Alaska/NW Canada,ALA,land,ANN,2085,
5331,0.23,5.03,cccma_cgcm3_1,CMIP3,B1,Alaska/NW Canada,ALA,land,DJF,2085,
5332,0.24,1.61,cccma_cgcm3_1,CMIP3,B1,Alaska/NW Canada,ALA,land,JJA,2085,
5333,0.12,2.7,cccma_cgcm3_1,CMIP3,B1,Alaska/NW Canada,ALA,land,MAM,2085,
5334,0.18,2.91,cccma_cgcm3_1,CMIP3,B1,Alaska/NW Canada,ALA,land,SON,2085,
5335,0.0,2.45,cccma_cgcm3_1,CMIP3,B1,South America: Amazon,AMZ,land,ANN,2085,
5336,0.08,2.48,cccma_cgcm3_1,CMIP3,B1,South America: Amazon,AMZ,land,DJF,2085,
5337,-0.11,2.58,cccma_cgcm3_1,CMIP3,B1,South America: Amazon,AMZ,land,JJA,2085,
5338,0.05,2.24,cccma_cgcm3_1,CMIP3,B1,South America: Amazon,AMZ,land,MAM,2085,
5339,-0.0,2.49,cccma_cgcm3_1,CMIP3,B1,South America: Amazon,AMZ,land,SON,2085,
5340,-0.15,1.97,cccma_cgcm3_1,CMIP3,B1,Central America,CAM,land,ANN,2085,
5341,0.05,1.87,cccma_cgcm3_1,CMIP3,B1,Central America,CAM,land,DJF,2085,
5342,-0.51,2.01,cccma_cgcm3_1,CMIP3,B1,Central America,CAM,land,JJA,2085,
5343,0.04,1.93,cccma_cgcm3_1,CMIP3,B1,Central America,CAM,land,MAM,2085,
5344,-0.2,2.07,cccma_cgcm3_1,CMIP3,B1,Central America,CAM,land,SON,2085,
5345,0.02,2.63,cccma_cgcm3_1,CMIP3,B1,Central Asia,CAS,land,ANN,2085,
5346,0.08,2.72,cccma_cgcm3_1,CMIP3,B1,Central Asia,CAS,land,DJF,2085,
5347,0.06,2.82,cccma_cgcm3_1,CMIP3,B1,Central Asia,CAS,land,JJA,2085,
5348,-0.14,2.62,cccma_cgcm3_1,CMIP3,B1,Central Asia,CAS,land,MAM,2085,
5349,0.09,2.35,cccma_cgcm3_1,CMIP3,B1,Central Asia,CAS,land,SON,2085,
5350,0.04,2.16,cccma_cgcm3_1,CMIP3,B1,Central Europe,CEU,land,ANN,2085,
5351,0.17,2.65,cccma_cgcm3_1,CMIP3,B1,Central Europe,CEU,land,DJF,2085,
5352,-0.08,1.73,cccma_cgcm3_1,CMIP3,B1,Central Europe,CEU,land,JJA,2085,
5353,0.14,2.39,cccma_cgcm3_1,CMIP3,B1,Central Europe,CEU,land,MAM,2085,
5354,-0.05,1.88,cccma_cgcm3_1,CMIP3,B1,Central Europe,CEU,land,SON,2085,
5355,0.15,2.44,cccma_cgcm3_1,CMIP3,B1,High-latitudes: Canada/Greenland/Iceland,CGI,land,ANN,2085,
5356,0.13,3.76,cccma_cgcm3_1,CMIP3,B1,High-latitudes: Canada/Greenland/Iceland,CGI,land,DJF,2085,
5357,0.15,1.4,cccma_cgcm3_1,CMIP3,B1,High-latitudes: Canada/Greenland/Iceland,CGI,land,JJA,2085,
5358,0.11,1.99,cccma_cgcm3_1,CMIP3,B1,High-latitudes: Canada/Greenland/Iceland,CGI,land,MAM,2085,
5359,0.19,2.63,cccma_cgcm3_1,CMIP3,B1,High-latitudes: Canada/Greenland/Iceland,CGI,land,SON,2085,
5360,0.06,2.52,cccma_cgcm3_1,CMIP3,B1,Central North America,CNA,land,ANN,2085,
5361,0.11,2.33,cccma_cgcm3_1,CMIP3,B1,Central North America,CNA,land,DJF,2085,
5362,-0.0,2.67,cccma_cgcm3_1,CMIP3,B1,Central North America,CNA,land,JJA,2085,
5363,0.03,2.38,cccma_cgcm3_1,CMIP3,B1,Central North America,CNA,land,MAM,2085,
5364,0.12,2.69,cccma_cgcm3_1,CMIP3,B1,Central North America,CNA,land,SON,2085,
5365,0.13,2.27,cccma_cgcm3_1,CMIP3,B1,East Africa,EAF,land,ANN,2085,
5366,0.24,2.2,cccma_cgcm3_1,CMIP3,B1,East Africa,EAF,land,DJF,2085,
5367,-0.06,2.31,cccma_cgcm3_1,CMIP3,B1,East Africa,EAF,land,JJA,2085,
5368,0.36,2.2,cccma_cgcm3_1,CMIP3,B1,East Africa,EAF,land,MAM,2085,
5369,-0.03,2.36,cccma_cgcm3_1,CMIP3,B1,East Africa,EAF,land,SON,2085,
5370,0.16,1.92,cccma_cgcm3_1,CMIP3,B1,Eastern Asia,EAS,land,ANN,2085,
5371,0.07,2.14,cccma_cgcm3_1,CMIP3,B1,Eastern Asia,EAS,land,DJF,2085,
5372,0.21,1.95,cccma_cgcm3_1,CMIP3,B1,Eastern Asia,EAS,land,JJA,2085,
5373,0.17,1.7,cccma_cgcm3_1,CMIP3,B1,Eastern Asia,EAS,land,MAM,2085,
5374,0.19,1.91,cccma_cgcm3_1,CMIP3,B1,Eastern Asia,EAS,land,SON,2085,
5375,0.04,2.13,cccma_cgcm3_1,CMIP3,B1,Eastern North America,ENA,land,ANN,2085,
5376,0.37,2.29,cccma_cgcm3_1,CMIP3,B1,Eastern North America,ENA,land,DJF,2085,
5377,-0.26,2.04,cccma_cgcm3_1,CMIP3,B1,Eastern North America,ENA,land,JJA,2085,
5378,0.04,1.96,cccma_cgcm3_1,CMIP3,B1,Eastern North America,ENA,land,MAM,2085,
5379,0.03,2.22,cccma_cgcm3_1,CMIP3,B1,Eastern North America,ENA,land,SON,2085,
5380,-0.12,2.28,cccma_cgcm3_1,CMIP3,B1,Southern Europe/Mediterranean,MED,land,ANN,2085,
5381,-0.12,1.99,cccma_cgcm3_1,CMIP3,B1,Southern Europe/Mediterranean,MED,land,DJF,2085,
5382,-0.13,2.68,cccma_cgcm3_1,CMIP3,B1,Southern Europe/Mediterranean,MED,land,JJA,2085,
5383,-0.07,2.28,cccma_cgcm3_1,CMIP3,B1,Southern Europe/Mediterranean,MED,land,MAM,2085,
5384,-0.14,2.17,cccma_cgcm3_1,CMIP3,B1,Southern Europe/Mediterranean,MED,land,SON,2085,
5385,0.14,2.49,cccma_cgcm3_1,CMIP3,B1,North Asia,NAS,land,ANN,2085,
5386,0.13,3.68,cccma_cgcm3_1,CMIP3,B1,North Asia,NAS,land,DJF,2085,
5387,0.19,1.81,cccma_cgcm3_1,CMIP3,B1,North Asia,NAS,land,JJA,2085,
5388,0.13,2.09,cccma_cgcm3_1,CMIP3,B1,North Asia,NAS,land,MAM,2085,
5389,0.13,2.4,cccma_cgcm3_1,CMIP3,B1,North Asia,NAS,land,SON,2085,
5390,0.24,2.09,cccma_cgcm3_1,CMIP3,B1,Australia/North Australia,NAU,land,ANN,2085,
5391,0.33,2.25,cccma_cgcm3_1,CMIP3,B1,Australia/North Australia,NAU,land,DJF,2085,
5392,0.21,2.07,cccma_cgcm3_1,CMIP3,B1,Australia/North Australia,NAU,land,JJA,2085,
5393,0.37,2.11,cccma_cgcm3_1,CMIP3,B1,Australia/North Australia,NAU,land,MAM,2085,
5394,0.07,1.92,cccma_cgcm3_1,CMIP3,B1,Australia/North Australia,NAU,land,SON,2085,
5395,-0.19,2.21,cccma_cgcm3_1,CMIP3,B1,Northeast Brazil,NEB,land,ANN,2085,
5396,-0.65,2.38,cccma_cgcm3_1,CMIP3,B1,Northeast Brazil,NEB,land,DJF,2085,
5397,-0.0,1.99,cccma_cgcm3_1,CMIP3,B1,Northeast Brazil,NEB,land,JJA,2085,
5398,-0.04,1.99,cccma_cgcm3_1,CMIP3,B1,Northeast Brazil,NEB,land,MAM,2085,
5399,-0.07,2.46,cccma_cgcm3_1,CMIP3,B1,Northeast Brazil,NEB,land,SON,2085,
5400,0.11,1.91,cccma_cgcm3_1,CMIP3,B1,Northern Europe,NEU,land,ANN,2085,
5401,0.18,2.48,cccma_cgcm3_1,CMIP3,B1,Northern Europe,NEU,land,DJF,2085,
5402,0.03,1.34,cccma_cgcm3_1,CMIP3,B1,Northern Europe,NEU,land,JJA,2085,
5403,0.12,2.18,cccma_cgcm3_1,CMIP3,B1,Northern Europe,NEU,land,MAM,2085,
5404,0.09,1.63,cccma_cgcm3_1,CMIP3,B1,Northern Europe,NEU,land,SON,2085,
5405,-0.02,1.98,cccma_cgcm3_1,CMIP3,B1,Southern Africa,SAF,land,ANN,2085,
5406,0.15,1.89,cccma_cgcm3_1,CMIP3,B1,Southern Africa,SAF,land,DJF,2085,
5407,-0.12,2.08,cccma_cgcm3_1,CMIP3,B1,Southern Africa,SAF,land,JJA,2085,
5408,-0.01,1.89,cccma_cgcm3_1,CMIP3,B1,Southern Africa,SAF,land,MAM,2085,
5409,-0.09,2.05,cccma_cgcm3_1,CMIP3,B1,Southern Africa,SAF,land,SON,2085,
5410,-0.06,2.53,cccma_cgcm3_1,CMIP3,B1,Africa: Sahara,SAH,land,ANN,2085,
5411,-0.02,2.22,cccma_cgcm3_1,CMIP3,B1,Africa: Sahara,SAH,land,DJF,2085,
5412,-0.09,2.82,cccma_cgcm3_1,CMIP3,B1,Africa: Sahara,SAH,land,JJA,2085,
5413,-0.06,2.72,cccma_cgcm3_1,CMIP3,B1,Africa: Sahara,SAH,land,MAM,2085,
5414,-0.07,2.36,cccma_cgcm3_1,CMIP3,B1,Africa: Sahara,SAH,land,SON,2085,
5415,0.34,2.16,cccma_cgcm3_1,CMIP3,B1,South Asia,SAS,land,ANN,2085,
5416,0.02,2.28,cccma_cgcm3_1,CMIP3,B1,South Asia,SAS,land,DJF,2085,
5417,0.68,1.86,cccma_cgcm3_1,CMIP3,B1,South Asia,SAS,land,JJA,2085,
5418,0.27,2.48,cccma_cgcm3_1,CMIP3,B1,South Asia,SAS,land,MAM,2085,
5419,0.39,2.02,cccma_cgcm3_1,CMIP3,B1,South Asia,SAS,land,SON,2085,
5420,0.0,1.6,cccma_cgcm3_1,CMIP3,B1,South Australia/New Zealand,SAU,land,ANN,2085,
5421,-0.1,1.74,cccma_cgcm3_1,CMIP3,B1,South Australia/New Zealand,SAU,land,DJF,2085,
5422,0.08,1.57,cccma_cgcm3_1,CMIP3,B1,South Australia/New Zealand,SAU,land,JJA,2085,
5423,0.05,1.62,cccma_cgcm3_1,CMIP3,B1,South Australia/New Zealand,SAU,land,MAM,2085,
5424,-0.02,1.46,cccma_cgcm3_1,CMIP3,B1,South Australia/New Zealand,SAU,land,SON,2085,
5425,0.35,1.75,cccma_cgcm3_1,CMIP3,B1,Southeast Asia (sea),SEA,sea,ANN,2085,
5426,0.43,1.74,cccma_cgcm3_1,CMIP3,B1,Southeast Asia (sea),SEA,sea,DJF,2085,
5427,0.27,1.78,cccma_cgcm3_1,CMIP3,B1,Southeast Asia (sea),SEA,sea,JJA,2085,
5428,0.39,1.67,cccma_cgcm3_1,CMIP3,B1,Southeast Asia (sea),SEA,sea,MAM,2085,
5429,0.31,1.8,cccma_cgcm3_1,CMIP3,B1,Southeast Asia (sea),SEA,sea,SON,2085,
5430,0.1,1.71,cccma_cgcm3_1,CMIP3,B1,Southeastern South America,SSA,land,ANN,2085,
5431,0.24,1.65,cccma_cgcm3_1,CMIP3,B1,Southeastern South America,SSA,land,DJF,2085,
5432,-0.02,1.88,cccma_cgcm3_1,CMIP3,B1,Southeastern South America,SSA,land,JJA,2085,
5433,0.05,1.61,cccma_cgcm3_1,CMIP3,B1,Southeastern South America,SSA,land,MAM,2085,
5434,0.13,1.73,cccma_cgcm3_1,CMIP3,B1,Southeastern South America,SSA,land,SON,2085,
5435,0.11,2.55,cccma_cgcm3_1,CMIP3,B1,Tibetan Plateau,TIB,land,ANN,2085,
5436,0.04,3.08,cccma_cgcm3_1,CMIP3,B1,Tibetan Plateau,TIB,land,DJF,2085,
5437,0.22,2.65,cccma_cgcm3_1,CMIP3,B1,Tibetan Plateau,TIB,land,JJA,2085,
5438,0.11,2.27,cccma_cgcm3_1,CMIP3,B1,Tibetan Plateau,TIB,land,MAM,2085,
5439,0.08,2.2,cccma_cgcm3_1,CMIP3,B1,Tibetan Plateau,TIB,land,SON,2085,
5440,0.06,2.18,cccma_cgcm3_1,CMIP3,B1,West Africa,WAF,land,ANN,2085,
5441,0.09,2.13,cccma_cgcm3_1,CMIP3,B1,West Africa,WAF,land,DJF,2085,
5442,0.16,2.17,cccma_cgcm3_1,CMIP3,B1,West Africa,WAF,land,JJA,2085,
5443,-0.01,2.19,cccma_cgcm3_1,CMIP3,B1,West Africa,WAF,land,MAM,2085,
5444,0.01,2.24,cccma_cgcm3_1,CMIP3,B1,West Africa,WAF,land,SON,2085,
5445,0.01,2.53,cccma_cgcm3_1,CMIP3,B1,West Asia,WAS,land,ANN,2085,
5446,0.04,2.26,cccma_cgcm3_1,CMIP3,B1,West Asia,WAS,land,DJF,2085,
5447,0.03,2.64,cccma_cgcm3_1,CMIP3,B1,West Asia,WAS,land,JJA,2085,
5448,-0.14,2.71,cccma_cgcm3_1,CMIP3,B1,West Asia,WAS,land,MAM,2085,
5449,0.11,2.51,cccma_cgcm3_1,CMIP3,B1,West Asia,WAS,land,SON,2085,
5450,0.11,2.31,cccma_cgcm3_1,CMIP3,B1,West North America,WNA,land,ANN,2085,
5451,0.14,2.74,cccma_cgcm3_1,CMIP3,B1,West North America,WNA,land,DJF,2085,
5452,0.01,2.22,cccma_cgcm3_1,CMIP3,B1,West North America,WNA,land,JJA,2085,
5453,0.11,2.38,cccma_cgcm3_1,CMIP3,B1,West North America,WNA,land,MAM,2085,
5454,0.2,1.91,cccma_cgcm3_1,CMIP3,B1,West North America,WNA,land,SON,2085,
5455,-0.04,2.0,cccma_cgcm3_1,CMIP3,B1,West Coast South America,WSA,land,ANN,2085,
5456,-0.07,2.02,cccma_cgcm3_1,CMIP3,B1,West Coast South America,WSA,land,DJF,2085,
5457,0.04,2.06,cccma_cgcm3_1,CMIP3,B1,West Coast South America,WSA,land,JJA,2085,
5458,-0.09,1.97,cccma_cgcm3_1,CMIP3,B1,West Coast South America,WSA,land,MAM,2085,
5459,-0.02,1.97,cccma_cgcm3_1,CMIP3,B1,West Coast South America,WSA,land,SON,2085,
5460,0.22,3.82,cccma_cgcm3_1_t6,CMIP3,B1,Alaska/NW Canada,ALA,land,ANN,2085,
5461,0.23,6.29,cccma_cgcm3_1_t6,CMIP3,B1,Alaska/NW Canada,ALA,land,DJF,2085,
5462,0.25,1.88,cccma_cgcm3_1_t6,CMIP3,B1,Alaska/NW Canada,ALA,land,JJA,2085,
5463,0.15,3.11,cccma_cgcm3_1_t6,CMIP3,B1,Alaska/NW Canada,ALA,land,MAM,2085,
5464,0.25,4.01,cccma_cgcm3_1_t6,CMIP3,B1,Alaska/NW Canada,ALA,land,SON,2085,
5465,-0.06,2.92,cccma_cgcm3_1_t6,CMIP3,B1,South America: Amazon,AMZ,land,ANN,2085,
5466,0.03,3.04,cccma_cgcm3_1_t6,CMIP3,B1,South America: Amazon,AMZ,land,DJF,2085,
5467,-0.02,2.86,cccma_cgcm3_1_t6,CMIP3,B1,South America: Amazon,AMZ,land,JJA,2085,
5468,-0.06,2.72,cccma_cgcm3_1_t6,CMIP3,B1,South America: Amazon,AMZ,land,MAM,2085,
5469,-0.2,3.04,cccma_cgcm3_1_t6,CMIP3,B1,South America: Amazon,AMZ,land,SON,2085,
5470,-0.3,2.2,cccma_cgcm3_1_t6,CMIP3,B1,Central America,CAM,land,ANN,2085,
5471,0.2,2.08,cccma_cgcm3_1_t6,CMIP3,B1,Central America,CAM,land,DJF,2085,
5472,-0.76,2.27,cccma_cgcm3_1_t6,CMIP3,B1,Central America,CAM,land,JJA,2085,
5473,0.01,2.16,cccma_cgcm3_1_t6,CMIP3,B1,Central America,CAM,land,MAM,2085,
5474,-0.64,2.29,cccma_cgcm3_1_t6,CMIP3,B1,Central America,CAM,land,SON,2085,
5475,0.02,3.01,cccma_cgcm3_1_t6,CMIP3,B1,Central Asia,CAS,land,ANN,2085,
5476,0.18,2.9,cccma_cgcm3_1_t6,CMIP3,B1,Central Asia,CAS,land,DJF,2085,
5477,0.05,2.89,cccma_cgcm3_1_t6,CMIP3,B1,Central Asia,CAS,land,JJA,2085,
5478,-0.24,3.39,cccma_cgcm3_1_t6,CMIP3,B1,Central Asia,CAS,land,MAM,2085,
5479,0.08,2.87,cccma_cgcm3_1_t6,CMIP3,B1,Central Asia,CAS,land,SON,2085,
5480,0.13,2.25,cccma_cgcm3_1_t6,CMIP3,B1,Central Europe,CEU,land,ANN,2085,
5481,0.24,2.56,cccma_cgcm3_1_t6,CMIP3,B1,Central Europe,CEU,land,DJF,2085,
5482,-0.07,1.89,cccma_cgcm3_1_t6,CMIP3,B1,Central Europe,CEU,land,JJA,2085,
5483,0.22,2.44,cccma_cgcm3_1_t6,CMIP3,B1,Central Europe,CEU,land,MAM,2085,
5484,0.13,2.1,cccma_cgcm3_1_t6,CMIP3,B1,Central Europe,CEU,land,SON,2085,
5485,0.2,3.62,cccma_cgcm3_1_t6,CMIP3,B1,High-latitudes: Canada/Greenland/Iceland,CGI,land,ANN,2085,
5486,0.2,5.79,cccma_cgcm3_1_t6,CMIP3,B1,High-latitudes: Canada/Greenland/Iceland,CGI,land,DJF,2085,
5487,0.15,1.87,cccma_cgcm3_1_t6,CMIP3,B1,High-latitudes: Canada/Greenland/Iceland,CGI,land,JJA,2085,
5488,0.18,3.0,cccma_cgcm3_1_t6,CMIP3,B1,High-latitudes: Canada/Greenland/Iceland,CGI,land,MAM,2085,
5489,0.25,3.83,cccma_cgcm3_1_t6,CMIP3,B1,High-latitudes: Canada/Greenland/Iceland,CGI,land,SON,2085,
